scenario,region,GCAM_region_ID,year,gdpcap1q
DietaryTransition,Mexico,20,2030,626.2001526626276
DietaryTransition,Mexico,20,2040,919.5947491014135
DietaryTransition,Mexico,20,2050,1393.802387448771
DietaryTransition,Middle East,21,2020,810.9043268528162
DietaryTransition,Middle East,21,2030,952.1681946379147
DietaryTransition,Middle East,21,2040,1180.2138574614496
DietaryTransition,Middle East,21,2050,1430.9536612495524
DietaryTransition,Pakistan,22,2020,112.59938437812075
DietaryTransition,Pakistan,22,2030,145.263309442398
DietaryTransition,Pakistan,22,2040,216.03267271747225
DietaryTransition,Pakistan,22,2050,329.86641563397353
DietaryTransition,Russia,23,2020,936.7763711851464
DietaryTransition,Russia,23,2030,1178.08558332388
DietaryTransition,Russia,23,2040,1451.1375377273023
DietaryTransition,Russia,23,2050,1622.32137755913
DietaryTransition,South Africa,24,2020,11.461320841334059
DietaryTransition,South Africa,24,2030,23.79350643377331
DietaryTransition,South Africa,24,2040,43.34303804919483
DietaryTransition,South Africa,24,2050,75.15892540078028
DietaryTransition,South America_Northern,25,2020,NA
DietaryTransition,South America_Northern,25,2030,NA
DietaryTransition,South America_Northern,25,2040,NA
DietaryTransition,South America_Northern,25,2050,NA
DietaryTransition,South America_Southern,26,2020,432.1245183571962
DietaryTransition,South America_Southern,26,2030,570.303206028484
DietaryTransition,South America_Southern,26,2040,757.6071541326455
DietaryTransition,South America_Southern,26,2050,1012.7500215825967
DietaryTransition,South Asia,27,2020,110.56556151367712
DietaryTransition,South Asia,27,2030,171.86258934306883
DietaryTransition,South Asia,27,2040,252.16607175906358
DietaryTransition,South Asia,27,2050,372.91018578273406
DietaryTransition,South Korea,28,2020,2406.804718426845
DietaryTransition,South Korea,28,2030,3174.868007431877
DietaryTransition,South Korea,28,2040,4001.3543986538166
DietaryTransition,South Korea,28,2050,5008.230774602474
DietaryTransition,Southeast Asia,29,2020,315.67435503586825
DietaryTransition,Southeast Asia,29,2030,467.8286904928438
DietaryTransition,Southeast Asia,29,2040,663.0502323953818
DietaryTransition,Southeast Asia,29,2050,936.5557938049755
DietaryTransition,USA,1,2020,3267.364154375037
DietaryTransition,USA,1,2030,3447.761184239003
DietaryTransition,USA,1,2040,3663.579443789309
DietaryTransition,USA,1,2050,3844.928465548904
PotYld,Africa_Eastern,2,2020,55.34977950063185
PotYld,Africa_Eastern,2,2030,78.98302730596438
PotYld,Africa_Eastern,2,2040,122.6085483560845
PotYld,Africa_Eastern,2,2050,198.6608713605289
PotYld,Africa_Northern,3,2020,322.6174479242474
PotYld,Africa_Northern,3,2030,450.9935609559776
PotYld,Africa_Northern,3,2040,634.542743564384
PotYld,Africa_Northern,3,2050,880.0256072189518
PotYld,Africa_Southern,4,2020,73.87414444170679
PotYld,Africa_Southern,4,2030,93.98595513008337
PotYld,Africa_Southern,4,2040,130.06522631290483
PotYld,Africa_Southern,4,2050,194.78010866515007
PotYld,Africa_Western,5,2020,93.22223695159924
PotYld,Africa_Western,5,2030,126.49760916808613
PotYld,Africa_Western,5,2040,198.8857928774027
PotYld,Africa_Western,5,2050,311.1202513270688
PotYld,Argentina,31,2020,738.4580222348277
PotYld,Argentina,31,2030,971.5282291777754
PotYld,Argentina,31,2040,1229.7614207194058
PotYld,Argentina,31,2050,1544.9101572730306
PotYld,Australia_NZ,6,2020,5223.9918597994065
PotYld,Australia_NZ,6,2030,5848.65369192541
PotYld,Australia_NZ,6,2040,6477.4141709021205
PotYld,Australia_NZ,6,2050,7204.745712767433
PotYld,Brazil,7,2020,373.1068025293662
PotYld,Brazil,7,2030,437.4548243117079
PotYld,Brazil,7,2040,521.1254968552375
PotYld,Brazil,7,2050,616.7254910770849
PotYld,Canada,8,2020,5702.099479623251
PotYld,Canada,8,2030,6079.81148432384
PotYld,Canada,8,2040,6651.446197104496
PotYld,Canada,8,2050,7148.796098789365
PotYld,Central America and Caribbean,9,2020,262.9555275059767
PotYld,Central America and Caribbean,9,2030,351.99660426753707
PotYld,Central America and Caribbean,9,2040,488.151558825904
PotYld,Central America and Caribbean,9,2050,695.1163768992823
PotYld,Central Asia,10,2020,577.2315826533116
PotYld,Central Asia,10,2030,833.0368790061816
PotYld,Central Asia,10,2040,1110.076027413747
PotYld,Central Asia,10,2050,1359.5499195322022
PotYld,China,11,2020,577.8166286813752
PotYld,China,11,2030,962.5856842632287
PotYld,China,11,2040,1373.529888598935
PotYld,China,11,2050,1848.1075372776932
PotYld,Colombia,32,2020,310.8930379679076
PotYld,Colombia,32,2030,383.321619682327
PotYld,Colombia,32,2040,477.9578981023308
PotYld,Colombia,32,2050,594.4960820765032
PotYld,EU-12,12,2020,2055.692543392774
PotYld,EU-12,12,2030,2562.918411829348
PotYld,EU-12,12,2040,3098.036264920487
PotYld,EU-12,12,2050,3582.1728696751697
PotYld,EU-15,13,2020,4513.3400470346405
PotYld,EU-15,13,2030,5005.246184710638
PotYld,EU-15,13,2040,5650.728288420893
PotYld,EU-15,13,2050,6426.6598357074445
PotYld,Europe_Eastern,14,2020,408.61630466817275
PotYld,Europe_Eastern,14,2030,565.7183182610971
PotYld,Europe_Eastern,14,2040,756.0257860883916
PotYld,Europe_Eastern,14,2050,943.2403231598705
PotYld,Europe_Non_EU,15,2020,1073.7302663798241
PotYld,Europe_Non_EU,15,2030,1342.2477827062055
PotYld,Europe_Non_EU,15,2040,1633.3304242446798
PotYld,Europe_Non_EU,15,2050,1944.1168623739934
PotYld,European Free Trade Association,16,2020,9612.869133415468
PotYld,European Free Trade Association,16,2030,10423.565713921864
PotYld,European Free Trade Association,16,2040,11419.590615446361
PotYld,European Free Trade Association,16,2050,12784.15161878447
PotYld,India,17,2020,191.711184431966
PotYld,India,17,2030,293.06874172408106
PotYld,India,17,2040,401.0953164300994
PotYld,India,17,2050,513.4534106662127
PotYld,Indonesia,18,2020,370.22111839567435
PotYld,Indonesia,18,2030,588.4859793367141
PotYld,Indonesia,18,2040,874.3811999693365
PotYld,Indonesia,18,2050,1250.9088884888133
PotYld,Japan,19,2020,4984.098355612162
PotYld,Japan,19,2030,5499.719351467322
PotYld,Japan,19,2040,6070.988006949048
PotYld,Japan,19,2050,6721.496001037347
PotYld,Mexico,20,2020,445.25902182251554
PotYld,Mexico,20,2030,626.2001526626276
PotYld,Mexico,20,2040,919.5947491014135
PotYld,Mexico,20,2050,1393.802387448771
PotYld,Middle East,21,2020,810.9043268528162
PotYld,Middle East,21,2030,952.1681946379147
