GCAM_commodity,GCAM_region_ID,contentN,contentP
Legumes,6,0.013037200411399356,0.013037200411399356
Legumes,7,0.003218157782740147,0.003218157782740147
Legumes,8,0.0025510333623815214,0.0025510333623815214
Legumes,9,0.014159543900483693,0.014159543900483693
Legumes,10,0.012873366894095937,0.012873366894095937
Legumes,11,0.003005712691033471,0.003005712691033471
Legumes,12,0.009469791097453101,0.009469791097453101
Legumes,13,0.009283349397963526,0.009283349397963526
Legumes,14,0.016776802387613837,0.016776802387613837
Legumes,15,0.020625821935669773,0.020625821935669773
Legumes,16,0.009431905406945097,0.009431905406945097
Legumes,17,0.007022440341671131,0.007022440341671131
Legumes,18,0.0025025586801775794,0.0025025586801775794
Legumes,19,0.0022341020876276902,0.0022341020876276902
Legumes,20,0.015248235014503685,0.015248235014503684
Legumes,21,0.01549890638016472,0.01549890638016472
Legumes,22,0.0025332127863608965,0.0025332127863608965
Legumes,23,0.03215373801132451,0.03215373801132451
Legumes,24,0.004107561876688136,0.004107561876688136
Legumes,25,0.004771228907448441,0.004771228907448441
Legumes,26,0.013387285993049353,0.013387285993049353
Legumes,27,0.030308332422438133,0.030308332422438133
Legumes,29,0.007219882308859263,0.007219882308859263
Legumes,31,0.04239564630136236,0.04239564630136236
Legumes,32,0.014717574257141744,0.014717574257141743
MiscCrop,1,0.03566840661190886,0.03566840661190886
MiscCrop,2,0.0019779030430156224,0.0019779030430156224
MiscCrop,3,0.01743659948888817,0.01743659948888817
MiscCrop,4,0.002420620267271876,0.002420620267271876
MiscCrop,5,0.020406656436811943,0.020406656436811943
MiscCrop,6,0.008477512035959568,0.008477512035959568
MiscCrop,7,0.02876429393835438,0.02876429393835438
MiscCrop,8,0.01552,0.01552
MiscCrop,9,0.015044308344814584,0.015044308344814584
MiscCrop,10,0.015109270571473866,0.015109270571473866
MiscCrop,11,0.007834575216835666,0.007834575216835666
MiscCrop,12,0.01257577650305661,0.01257577650305661
MiscCrop,13,0.0013534450490758794,0.0013534450490758794
MiscCrop,14,0.03216613102595797,0.03216613102595797
MiscCrop,15,0.022510527215081396,0.022510527215081396
MiscCrop,16,4.0113576611631085e-4,4.011357661163109e-4
MiscCrop,17,0.008269748032919392,0.008269748032919392
MiscCrop,18,0.019111055456704412,0.019111055456704412
MiscCrop,19,0.01565855339939129,0.01565855339939129
MiscCrop,20,0.0017469744772268003,0.0017469744772268003
MiscCrop,21,0.028132459779295124,0.028132459779295124
MiscCrop,22,0.004320207601699135,0.0043202076016991345
MiscCrop,23,0.00703095873015873,0.00703095873015873
MiscCrop,24,0.009971337963231642,0.009971337963231642
MiscCrop,25,0.007833992321356942,0.007833992321356942
MiscCrop,26,0.0027860544509875833,0.0027860544509875833
MiscCrop,27,0.008606282546274832,0.008606282546274832
MiscCrop,29,0.02053592717779483,0.02053592717779483
MiscCrop,31,0.01924468899933433,0.01924468899933433
MiscCrop,32,0.02743758979108104,0.02743758979108104
NutsSeeds,1,0.01283093248347646,0.01283093248347646
NutsSeeds,2,0.009271012259503875,0.009271012259503875
NutsSeeds,3,0.005403838400712636,0.005403838400712636
NutsSeeds,4,0.013080993843304356,0.013080993843304356
NutsSeeds,5,0.011124842977396894,0.011124842977396894
NutsSeeds,6,0.0036793782415325666,0.0036793782415325666
NutsSeeds,7,0.021184542132424655,0.021184542132424655
NutsSeeds,8,0,0
NutsSeeds,9,0.010687808024074182,0.010687808024074182
NutsSeeds,10,0.007651633921517835,0.007651633921517835
NutsSeeds,11,0.03290422284307979,0.03290422284307979
NutsSeeds,12,0.004619055709569813,0.004619055709569813
NutsSeeds,13,0.015739122524129,0.015739122524129
NutsSeeds,14,0.015797576619423572,0.015797576619423572
NutsSeeds,15,0.0063358143260592165,0.0063358143260592165
NutsSeeds,16,0.02,0.02
NutsSeeds,17,0.002012949062601687,0.002012949062601687
NutsSeeds,18,0.006504249077381034,0.006504249077381034
NutsSeeds,19,0.03536,0.03536
NutsSeeds,20,0.017021729389536378,0.017021729389536378
NutsSeeds,21,0.010641172768141591,0.010641172768141591
NutsSeeds,22,0.0019190448930271622,0.0019190448930271622
NutsSeeds,23,0.009027863110624895,0.009027863110624895
NutsSeeds,24,0.008054677053709894,0.008054677053709894
NutsSeeds,25,0.02352,0.02352
NutsSeeds,26,0.04677931739922558,0.04677931739922558
NutsSeeds,27,0.004901566346003208,0.004901566346003208
NutsSeeds,29,0.03396482885175537,0.03396482885175537
NutsSeeds,31,0.03933998056089992,0.03933998056089992
NutsSeeds,32,0.0016731800312348537,0.0016731800312348537
OilCrop,1,0.006341365371619693,0.006341365371619693
OilCrop,2,0.01073810548350578,0.01073810548350578
OilCrop,3,0.00694472131484716,0.00694472131484716
OilCrop,4,0.009155046073189699,0.009155046073189699
OilCrop,5,0.01555636654099779,0.01555636654099779
OilCrop,6,0.0040568205157026785,0.0040568205157026785
OilCrop,7,0.01993033038539819,0.01993033038539819
OilCrop,8,0.0038068480224886306,0.0038068480224886306
OilCrop,9,0.0032077906627511177,0.0032077906627511173
OilCrop,10,0.011784965680155206,0.011784965680155206
OilCrop,11,0.00267604494434545,0.00267604494434545
OilCrop,12,0.0040954281330425855,0.0040954281330425855
OilCrop,13,0.01991743093301902,0.01991743093301902
OilCrop,14,0.023683356662125846,0.023683356662125846
OilCrop,15,0.016866012613802835,0.016866012613802835
OilCrop,16,0.010871096379442398,0.0108710963794424
OilCrop,17,0.005957990399242358,0.005957990399242358
OilCrop,18,0.0029870637116171887,0.0029870637116171887
OilCrop,19,0.009304892966360856,0.009304892966360856
OilCrop,20,0.023886293237584028,0.023886293237584028
OilCrop,21,0.0053134017460129334,0.0053134017460129334
OilCrop,22,0.060610948767206053,0.060610948767206053
OilCrop,23,0.009941235245955837,0.009941235245955837
OilCrop,24,0.03116014087148479,0.03116014087148479
OilCrop,25,0,0
OilCrop,26,0.004323233304040881,0.004323233304040881
OilCrop,27,0.009469641022905359,0.009469641022905359
OilCrop,29,0.022424985748787,0.022424985748787
OilCrop,31,0.005609959157994259,0.005609959157994259
OilCrop,32,0.013,0.013
OtherGrain,1,0.0059823527202717995,0.0059823527202717995
OtherGrain,2,0.011682744992303,0.011682744992303
OtherGrain,3,0.008373077248125749,0.008373077248125749
OtherGrain,4,0.00655338038625334,0.00655338038625334
OtherGrain,5,0.019946213803755358,0.019946213803755358
OtherGrain,6,0.007535327078375377,0.007535327078375377
OtherGrain,7,0.0012233799428487744,0.0012233799428487744
OtherGrain,8,0.003764503967630494,0.0037645039676304946
OtherGrain,9,0.009492926783782154,0.009492926783782154
OtherGrain,10,0.021490560883362018,0.021490560883362018
OtherGrain,11,0.009260058116145654,0.009260058116145654
OtherGrain,12,0.01904732993357874,0.01904732993357874
OtherGrain,13,0.015163794076944077,0.015163794076944077
OtherGrain,14,0.0028621373939173352,0.0028621373939173352
OtherGrain,15,0.029926391373972218,0.029926391373972218
OtherGrain,16,0.002722988031687359,0.002722988031687359
OtherGrain,17,0.002056738082356932,0.002056738082356932
OtherGrain,18,0,0
OtherGrain,19,0.005264523022566675,0.005264523022566676
OtherGrain,20,0.008533875219067132,0.008533875219067132
OtherGrain,21,0.009058430554257712,0.009058430554257712
OtherGrain,22,0.01394108746470923,0.01394108746470923
OtherGrain,23,0.007381185289277402,0.0073811852892774026
OtherGrain,24,0.010327244508247919,0.010327244508247919
OtherGrain,25,0,0
OtherGrain,26,0.007236640431993266,0.007236640431993266
OtherGrain,27,0.009980966483265498,0.009980966483265498
OtherGrain,29,0.007358331332490538,0.007358331332490538
OtherGrain,31,0.011642322837270099,0.011642322837270099
OtherGrain,32,0.004329166141574261,0.004329166141574261
PalmFruit,1,0.03216,0.03216
PalmFruit,2,0.0024023889102053266,0.0024023889102053266
PalmFruit,3,0,0
PalmFruit,4,0.0024,0.0024
PalmFruit,5,0.023721914195689798,0.023721914195689798
PalmFruit,6,0,0
PalmFruit,7,0.0144,0.0144
PalmFruit,8,0,0
PalmFruit,9,0.006658660693802863,0.006658660693802863
PalmFruit,10,0,0
PalmFruit,11,0.01552,0.01552
PalmFruit,12,0,0
PalmFruit,13,0.01648,0.01648
PalmFruit,14,0,0
PalmFruit,15,0,0
PalmFruit,16,0,0
PalmFruit,17,0.02832,0.02832
PalmFruit,18,0.027,0.027
PalmFruit,19,0,0
PalmFruit,20,5e-4,5e-4
PalmFruit,21,0,0
PalmFruit,22,0.00128,0.00128
PalmFruit,23,0,0
PalmFruit,24,0,0
PalmFruit,25,0.016987309438808607,0.016987309438808607
PalmFruit,26,0.001719082739083716,0.001719082739083716
PalmFruit,27,0.007714698976747752,0.007714698976747753
PalmFruit,29,0.01335649636109716,0.01335649636109716
PalmFruit,31,0,0
