MODEL,SCENARIO,REGION,VARIABLE,UNIT,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
NCAR,SSP2_v9_130115,HTI,Population|Urban|Share,%,52.087,,60.6255178471641,,66.8610097788279,,71.4128576135669,,74.7931340047238,,77.3591844577202,,79.3499632471498,,80.9252646720232,,82.1936375826043,,83.2303818645244
NCAR,SSP2_v9_130115,HUN,Population|Urban|Share,%,68.095,,71.4477426502253,,74.4837411505713,,77.2191752901896,,79.67457247412,,81.8725492904924,,83.8362301120965,,85.5882061532888,,87.1498986345451,,88.5412091886323
NCAR,SSP2_v9_130115,IDN,Population|Urban|Share,%,44.281,,50.752715356666,,56.3523060552242,,61.0913964982033,,65.0626638565065,,68.3837829669667,,71.1687289872004,,73.5165802844837,,75.5091713784094,,77.2124528680515
NCAR,SSP2_v9_130115,IND,Population|Urban|Share,%,30.01,,35.7329575973867,,41.5867239383675,,47.3684247240552,,52.9089256013708,,58.0879753163907,,62.8355481521718,,67.1240488232359,,70.956889254449,,74.3573661202189
NCAR,SSP2_v9_130115,IRL,Population|Urban|Share,%,61.941,,67.3485415068891,,71.7340938234427,,75.2984986153368,,78.2163859574196,,80.6276994418195,,82.6408001039848,,84.3385668681763,,85.7843139801833,,87.0266325294478
NCAR,SSP2_v9_130115,IRN,Population|Urban|Share,%,70.753,,74.7927038065269,,78.0408505397967,,80.6808107525715,,82.8520995645268,,84.6591668119921,,86.1800951703566,,87.4735916453624,,88.5842036724711,,89.5460988774454
NCAR,SSP2_v9_130115,IRQ,Population|Urban|Share,%,66.173,,71.1063601666824,,75.0887680423887,,78.3220916962261,,80.9711468347836,,83.1640128405629,,84.9983486666288,,86.5483086287468,,87.8703909037231,,89.0079542941407
NCAR,SSP2_v9_130115,ISR,Population|Urban|Share,%,91.853,,92.1854194126689,,92.5053819265732,,92.8132651202413,,93.1094424241697,,93.3942824926374,,93.6681486443577,,93.9313983682473,,94.1843828905647,,94.4274467996786
NCAR,SSP2_v9_130115,ITA,Population|Urban|Share,%,68.36,,71.6220383432641,,74.6385476546867,,77.4065899062891,,79.9294256972651,,82.2151056621938,,84.275159086834,,86.1234460612844,,87.7752015785893,,89.2462734286219
NCAR,SSP2_v9_130115,JAM,Population|Urban|Share,%,52.006,,58.7032144825952,,63.7811405926527,,67.6270470514133,,70.569898501678,,72.8539653672873,,74.6530341617312,,76.089818285692,,77.251607550128,,78.2013431179414
