GCAM_commodity,GCAM_region_ID,Nfixkg,totval,Nfixkg.yld
Rice,12,252927.30507769997,1075290,0.2352177599323903
Rice,13,5293567.355861316,48431648,0.10929975696596812
Rice,14,775642.901451977,1774546,0.43709371380171436
Rice,15,2838497.227047005,9429325,0.30102867671302086
Rice,17,1437636067.4277716,2420341000,0.5939807933790204
Rice,18,400160836.8869406,1002080228,0.3993301391502364
Rice,19,57816365.60183955,196482600,0.29425692454110214
Rice,20,2373530.696178596,5419605,0.43795270987066326
Rice,21,3486537.886559271,4325792,0.8059883338263307
Rice,22,82040996.55239883,135489860,0.6055139222403716
Rice,23,5447879.597924458,22619630,0.24084742314195492
Rice,24,41755.82015306123,51744,0.8069693134095012
Rice,25,3409073.952329784,13304408,0.25623642572670535
Rice,26,9533371.935314905,90291264,0.10558465473819156
Rice,27,304502733.3607796,842349312,0.3614922325250021
Rice,29,237315651.26156056,2023123077,0.11730163822433654
Rice,31,6619188.7889917,20416922,0.32420111067631546
Rice,32,15364283.33169679,42585700,0.3607850365661898
Rice,NA,24666527.635122318,252728617,0.0976008491951757
RootTuber,1,0,383092734,0
RootTuber,2,0,536659863,0
RootTuber,3,0,121576843,0
RootTuber,4,0,379880420,0
RootTuber,5,0,1940372121,0
RootTuber,6,0,32822728,0
RootTuber,7,0,491112405,0
RootTuber,8,0,81695996,0
RootTuber,9,0,72536487,0
RootTuber,10,0,118638470,0
RootTuber,11,0,3097766568,0
RootTuber,12,0,458461273,0
RootTuber,13,0,844441196,0
RootTuber,14,0,482867019,0
RootTuber,15,0,122045626,0
RootTuber,16,0,16414538,0
RootTuber,17,0,646569800,0
RootTuber,18,0,402128619,0
RootTuber,19,0,77825896,0
RootTuber,20,0,31230929,0
RootTuber,21,0,50625528,0
RootTuber,22,0,45329210,0
RootTuber,23,0,1217621460,0
RootTuber,24,0,33250391,0
RootTuber,25,0,1259631,0
RootTuber,26,0,180684628,0
RootTuber,27,0,127742542,0
RootTuber,29,0,649343966,0
RootTuber,31,0,49556300,0
RootTuber,32,0,80050817,0
RootTuber,NA,0,600335070,0
Soybean,1,5574393764.346825,1396577970,3.991466201021934
Soybean,2,10085357.598336486,3281222,3.0736590204309513
Soybean,3,2917155.8428319995,592665,4.922099065799397
Soybean,4,7822665.40036601,3090690,2.53104174160657
Soybean,5,36786349.275027305,9017267,4.079545307356132
Soybean,6,5494317.976807848,1025722,5.356537128781334
Soybean,7,4850027889.975213,841658457,5.762465581659584
Soybean,8,263764599.8686474,54546800,4.835565053653879
Soybean,9,2280270.8736364404,952275,2.3945508110959968
Soybean,10,7498025.560790767,967710,7.748215437259889
Soybean,11,890688861.1639115,268679754,3.3150576026056338
Soybean,12,11187508.637943923,4595081,2.434670604923814
Soybean,13,48732347.09244234,16329816,2.98425573763001
Soybean,14,115059287.24820063,11430310,10.066156320187346
Soybean,15,19644596.757454865,8072251,2.433595877711789
Soybean,16,407330.0769102244,79242,5.14033059375362
Soybean,17,745138139.3220295,149424300,4.986726652372
Soybean,18,86281987.51568489,17648894,4.888804222841663
Soybean,19,17629081.30767757,3797700,4.6420415798187245
